time,open,high,low,close,volume
1785527100,63026.34,63027.58,62969.95,62969.95,0.08167
1785528000,62962.75,63004.66,62946.08,62991.89,0.18153
1785528900,63000.54,63030.95,62977.56,62993.65,0.08804
1785529800,63001.29,63008.69,62967.27,62991.71,0.04457
1785530700,62992.7,62992.7,62948.42,62965.4,0.07144
1785531600,62936.66,63004.73,62852.31,63004.73,0.0484
1785532500,63004.01,63027.1,62996.19,62997.72,2.78946
1785533400,63001.71,63027.11,62995.82,63020.52,0.03761
1785534300,63012.33,63047.3,62945.01,62948.68,0.03775
1785535200,62945.68,63017.34,62887.0,63002.65,0.07093
1785536100,63000.25,63016.41,62983.59,62983.59,0.0388
1785537000,62972.9,62995.93,62913.12,62942.2,0.07683
1785537900,62939.16,62960.16,62907.78,62930.08,0.12914
1785538800,62937.44,62990.35,62937.44,62972.86,0.01861
1785539700,62973.66,63009.2,62973.66,62978.3,0.02948
1785540600,62978.29,62991.56,62963.13,62963.13,0.2275
1785541500,62943.09,62943.45,62868.96,62868.96,0.02201
1785542400,62892.47,62969.24,62892.47,62969.24,0.09538
1785543300,62947.84,62991.43,62947.84,62964.92,0.03331
1785544200,62975.68,62999.97,62943.53,62992.5,0.14346
1785545100,62992.5,63020.13,62930.43,62930.43,0.09037
1785546000,62934.5,62964.82,62934.5,62964.82,0.0093
1785546900,62970.72,62979.88,62932.87,62957.41,0.08685
1785547800,62937.01,62958.27,62934.66,62958.27,0.03396
1785548700,62981.09,62984.31,62945.05,62965.55,0.01042
1785549600,62978.32,62998.48,62978.32,62990.01,0.0254
1785550500,63038.09,63074.17,63038.09,63064.18,0.33304
1785551400,63080.89,63086.43,63073.56,63073.56,0.02505
1785552300,63076.88,63099.75,63062.44,63066.57,0.02474
1785553200,63061.28,63061.28,62992.62,62992.62,0.04978
1785554100,62982.95,63030.33,62980.87,63030.33,0.04769
1785555000,63024.54,63024.54,62981.85,62998.37,0.04827
1785555900,62998.37,63019.11,62976.32,63006.54,0.03078
1785556800,63000.37,63024.41,63000.26,63024.41,0.09188
1785557700,63021.92,63045.84,63021.92,63045.84,0.0088
1785558600,63044.85,63059.04,63041.7,63059.04,0.05
1785559500,63071.08,63103.5,63071.08,63101.07,0.01195
1785560400,63107.24,63118.88,63068.0,63118.88,0.18866
1785561300,63090.41,63094.64,63081.23,63094.64,0.04186
1785562200,63089.35,63102.08,63008.36,63017.72,0.03905
1785563100,63017.72,63021.72,63009.71,63009.71,0.04839
1785564000,63033.52,63035.05,62995.81,62995.81,0.03389
1785564900,63016.61,63066.34,63016.61,63066.34,0.02409
1785565800,63066.65,63066.65,63052.52,63052.52,0.02499
1785566700,63063.76,63081.06,63063.76,63081.05,0.00219
1785567600,63081.05,63113.43,63080.89,63113.43,0.06773
1785568500,63113.43,63113.43,63075.52,63076.55,0.00672
1785569400,63054.05,63054.05,63036.7,63048.67,0.03153
1785570300,63053.89,63059.03,63053.89,63059.03,0.00053
1785571200,63066.33,63102.64,63066.33,63102.64,0.05558
1785572100,63102.64,63102.64,63097.97,63097.97,0.00413
1785573000,63096.77,63111.62,63096.77,63109.29,0.00327
1785573900,63105.66,63148.44,63105.66,63148.44,0.00529
1785574800,63141.42,63141.42,63113.67,63125.89,0.00323
1785575700,63126.08,63126.08,63126.08,63126.08,0.0006
1785576600,63114.38,63114.38,63114.38,63114.38,0.00303
1785577500,63104.07,63104.07,63048.42,63071.4,0.07243
1785578400,63069.14,63109.62,62996.13,63013.38,0.07623
1785579300,62998.08,63073.74,62998.08,63073.74,0.03324
1785580200,63052.37,63067.73,63052.37,63067.73,0.02532
1785581100,63057.97,63061.77,63050.59,63050.59,0.03253
1785582000,63044.38,63052.69,63042.54,63042.54,0.01127
1785582900,63063.7,63063.7,63063.7,63063.7,0.00103
1785583800,63091.58,63091.94,63091.58,63091.94,0.00074
1785584700,63072.81,63080.63,63072.81,63080.63,0.01345
1785585600,63102.23,63122.95,63102.23,63107.11,0.33838
1785586500,63110.04,63110.04,63100.65,63107.98,0.00127
1785587400,63098.35,63100.53,63092.97,63096.76,0.01893
1785588300,63095.39,63104.8,63095.39,63104.8,0.00246
1785589200,63101.98,63101.98,63092.34,63101.06,0.02296
1785590100,63084.8,63091.89,63084.8,63085.42,0.00297
1785591000,63081.37,63097.49,63012.62,63070.75,3.0854
1785591900,63062.9,63070.3,63062.9,63070.3,0.01928
1785592800,63072.47,63113.43,63070.84,63085.11,0.04679
1785593700,63085.04,63116.16,63083.72,63111.53,0.00206
1785594600,63116.5,63116.5,63090.11,63094.79,0.05718
1785595500,63106.52,63113.59,63083.21,63099.7,0.00418
1785596400,63123.0,63123.5,63110.4,63114.7,0.03399
1785597300,63113.43,63113.43,63062.96,63062.96,0.17472
1785598200,63061.87,63062.5,63055.88,63055.88,0.0009
1785599100,63047.4,63047.4,63009.14,63009.14,0.00742
1785600000,63009.14,63009.14,62933.87,62961.04,0.08853
1785600900,62962.84,62962.84,62919.79,62950.74,0.08104
1785601800,62950.18,63021.11,62950.18,62986.87,0.0777
1785602700,62967.5,62967.5,62887.0,62918.81,0.22369
1785603600,62933.25,62983.49,62878.72,62878.72,0.07041
1785604500,62856.13,62877.69,62817.54,62820.94,0.01544
1785605400,62801.01,62815.65,62755.0,62815.65,0.09139
1785606300,62824.17,62824.17,62674.93,62712.45,0.13639
1785607200,62693.85,62734.98,62633.89,62720.4,0.18662
1785608100,62711.46,62711.46,62492.89,62566.55,0.15501
1785609000,62528.31,62528.31,62263.77,62381.62,3.22275
1785609900,62362.77,62556.38,62300.0,62556.38,3.59088
1785610800,62600.46,62624.02,62535.72,62586.26,0.0744
1785611700,62543.21,62595.89,62495.33,62533.62,0.15867
1785612600,62553.7,62585.31,62454.43,62480.19,0.15916
1785613500,62476.36,62536.91,62476.36,62536.91,0.19004
1785614400,62490.05,62565.83,62490.05,62562.56,0.04994
1785615300,62551.92,62633.65,62551.92,62611.3,0.05528
1785616200,62614.07,62616.47,62571.13,62595.71,0.04517
1785617100,62599.7,62662.46,62584.44,62662.46,0.18888
1785618000,62703.4,62788.0,62703.4,62711.42,0.08329
1785618900,62743.22,62772.7,62743.22,62765.58,0.07037
1785619800,62795.6,62827.34,62761.56,62788.65,0.23015
1785620700,62803.36,62819.82,62795.85,62818.24,0.07014
1785621600,62815.45,62869.56,62795.48,62854.8,0.05741
1785622500,62865.36,62865.36,62840.16,62855.7,0.03647
1785623400,62847.98,62847.98,62832.18,62838.54,0.01973
1785624300,62854.45,62854.45,62835.54,62835.54,0.00377
1785625200,62835.54,62855.59,62819.61,62819.61,0.17577
1785626100,62815.09,62815.09,62774.11,62774.11,0.05554
1785627000,62784.34,62800.64,62784.34,62789.08,0.04045
1785627900,62834.38,62843.7,62814.4,62821.06,0.03105
1785628800,62887.0,62968.66,62887.0,62961.26,0.0901
1785629700,62930.66,62934.42,62887.81,62887.81,0.72575
1785630600,62890.63,62908.79,62854.08,62854.39,0.27831
1785631500,62860.83,62860.83,62798.67,62838.73,0.05702
1785632400,62846.06,63017.54,62846.06,63016.4,0.07574
1785633300,63019.0,63069.56,62969.41,62978.9,0.08966
1785634200,62979.59,63023.12,62979.59,63011.0,0.86172
1785635100,62995.02,62996.75,62985.2,62994.13,0.00337
1785636000,62968.34,63540.8,62968.34,63437.04,1.44007
1785636900,63468.25,63528.64,63414.31,63442.79,0.07797
1785637800,63418.21,63450.88,63335.0,63357.59,0.66494
1785638700,63346.11,63473.31,63346.11,63449.67,0.18443
1785639600,63425.65,63440.33,63400.0,63400.0,0.17243
1785640500,63396.0,63533.81,63395.37,63442.4,0.86008
1785641400,63442.62,63489.61,63442.62,63472.56,0.03571
1785642300,63495.91,63496.87,63442.62,63443.43,0.06186
1785643200,63467.23,63548.88,63467.23,63548.88,0.0983
1785644100,63548.87,63559.74,63548.87,63559.74,0.08351
1785645000,63551.83,63561.06,63526.21,63529.73,0.0892
1785645900,63533.97,63601.58,63523.23,63601.58,0.00647
1785646800,63601.58,63606.54,63476.51,63476.64,0.03673
1785647700,63449.41,63488.29,63449.41,63477.31,0.03997
1785648600,63474.91,63474.91,63426.29,63432.44,0.03075
1785649500,63427.61,63427.61,63414.94,63415.39,0.157
1785650400,63453.71,63473.53,63443.86,63443.86,0.01152
1785651300,63456.91,63473.39,63446.11,63473.39,0.0076
1785652200,63482.93,63490.73,63460.75,63490.73,0.07237
1785653100,63499.0,63499.0,63484.38,63484.38,0.00086
1785654000,63486.93,63494.63,63479.92,63487.59,0.00686
1785654900,63494.1,63494.1,63483.88,63483.88,0.00088
1785655800,63489.61,63537.49,63489.61,63537.49,0.00509
1785656700,63498.06,63498.06,63479.98,63482.96,0.03312
1785657600,63490.66,63522.24,63490.66,63504.73,0.01954
1785658500,63486.73,63486.73,63392.3,63392.3,0.03328
1785659400,63392.3,63392.95,63216.82,63216.82,0.07112
1785660300,63217.09,63217.09,63184.0,63184.0,0.00087
1785661200,63191.91,63282.1,63089.79,63267.23,0.12792
1785662100,63254.48,63292.87,63254.47,63258.78,0.10442
1785663000,63300.0,63304.84,63266.39,63278.38,0.03126
1785663900,63278.23,63278.23,63265.1,63265.1,0.00522
1785664800,63245.9,63245.9,63203.97,63203.97,0.08444
1785665700,63197.44,63259.06,63138.19,63138.19,0.03294
1785666600,63158.37,63199.99,63158.37,63199.99,0.01062
1785667500,63199.99,63202.6,63194.98,63200.52,0.00331
1785668400,63197.52,63197.52,63147.85,63147.85,0.03541
1785669300,63173.21,63180.7,63173.21,63175.72,0.05368
1785670200,63151.13,63166.83,63111.13,63111.13,0.01432
1785671100,63154.3,63155.34,62983.46,62983.46,0.07079
1785672000,63039.61,63166.62,63039.61,63166.62,0.11798
1785672900,63181.17,63218.34,63181.17,63200.61,0.05305
1785673800,63196.57,63202.52,63115.85,63143.44,0.06546
1785674700,63150.67,63150.67,63117.06,63117.06,0.01071
1785675600,63122.77,63141.58,63103.22,63116.2,0.03236
1785676500,63099.69,63099.69,63057.49,63077.51,0.01729
1785677400,63100.23,63108.04,63014.05,63068.19,0.0533
1785678300,63082.99,63118.81,63082.99,63118.81,0.00615
1785679200,63116.05,63116.05,63058.12,63079.81,0.08093
1785680100,63085.87,63127.77,63074.52,63110.72,0.15251
1785681000,63122.23,63151.21,63122.23,63129.62,0.00406
1785681900,63152.48,63152.48,63065.08,63067.41,0.04049
1785682800,63071.78,63127.73,63051.72,63127.73,0.1819
1785683700,63123.44,63128.85,63105.17,63118.48,0.024
1785684600,63130.08,63167.08,63130.08,63146.21,0.02723
1785685500,63149.9,63149.9,63123.77,63124.33,0.01175
1785686400,63120.21,63124.89,63069.4,63102.25,0.01883
1785687300,63080.85,63111.94,63080.85,63100.15,0.03857
1785688200,63103.96,63232.26,63103.96,63232.26,0.07998
1785689100,63213.32,63213.32,63187.12,63193.0,0.01075
1785690000,63180.33,63215.67,63153.45,63215.67,0.05317
1785690900,63195.88,63330.92,63193.92,63301.69,0.13209
1785691800,63299.48,63317.46,63290.9,63317.46,0.18372
